,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
76,25,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
77,25,2,XRSTR_1,-28788.25768954107,27814.0,949178.0456299058,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
78,26,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
79,26,1,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
80,26,2,XRSTR_2,-27919.207354783273,26886.0,1067517.43797825,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
81,27,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
82,27,1,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
83,27,2,x1,-30046.315914052546,28985.0,1126391.4694211932,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
84,28,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
85,28,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
86,28,2,x1,-30047.0798293587,28985.0,1128013.563930605,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
87,29,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
88,29,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
89,29,2,XRSTR_1,-28788.25768954107,27814.0,949178.0456299058,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
90,30,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
91,30,1,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
92,30,2,XRSTR_2,-27919.207354783273,26886.0,1067517.43797825,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
93,31,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
94,31,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
95,31,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
96,32,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
97,32,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
98,32,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
99,33,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
100,33,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
101,33,2,x1,-30047.0798293587,28985.0,1128013.563930605,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
102,34,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
103,34,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
104,34,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
105,35,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
106,35,1,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
107,35,2,x1,-30046.315914052546,28985.0,1126391.4694211932,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
108,36,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
109,36,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
110,36,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
111,37,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
112,37,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
113,37,2,XRSTR_1,-28788.25768954107,27814.0,949178.0456299058,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
114,38,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
115,38,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
116,38,2,x1,-30047.0798293587,28985.0,1128013.563930605,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
117,39,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
118,39,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
119,39,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
120,40,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
121,40,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
122,40,2,XRSTR_1,-28788.25768954107,27814.0,949178.0456299058,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
123,41,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
124,41,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
125,41,2,x1,-30047.0798293587,28985.0,1128013.563930605,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
126,42,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
127,42,1,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
128,42,2,x1,-30046.315914052546,28985.0,1126391.4694211932,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
129,43,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
130,43,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
131,43,2,x1,-30047.0798293587,28985.0,1128013.563930605,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
132,44,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
133,44,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
