,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
68,17,0,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
69,17,1,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
70,17,2,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
71,17,3,XM3_x3_x1_x1,-4145.0,4145.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
72,18,0,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
73,18,1,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
74,18,2,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
75,18,3,XM4_x3_x1_x1,-4045.0,4045.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
76,19,0,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1857.0, 3086.0, 180)"
77,19,1,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1511.0, 3086.0, 180)"
78,19,2,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
79,19,3,XM4_x3_x1_x1,-3845.0,3845.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
80,20,0,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
81,20,1,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1611.0, 3086.0, 180)"
82,20,2,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1265.0, 3086.0, 180)"
83,20,3,XM4_x3_x1_x1,-2661.0,2661.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
84,21,0,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
