,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
202,40,2,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -10.0, 180)"
203,40,3,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
204,40,4,XDL_XM1_XM2_x3_x1,-5059.945188150568,4782.0,77253.52761605495,"(434, 269, 180)","(434.0, 269.0, 180)"
205,41,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
206,41,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
207,41,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
208,41,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
209,41,4,XM6_x3_x1,-6173.321397057362,5776.0,157864.292559614,"(434, 269, 180)","(434.0, 269.0, 180)"
210,42,0,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, -289.0, 180)"
211,42,1,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, -10.0, 180)"
212,42,2,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
213,42,3,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(747.0, 269.0, 180)"
214,42,4,XR6_x3_x1,-6572.39056819305,6126.0,199264.53937171373,"(434, 269, 180)","(434.0, 269.0, 180)"
215,43,0,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
216,43,1,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
217,43,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
218,43,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
219,43,4,XM6_x3_x1,-6689.012581049695,6224.0,216236.70053449858,"(434, 269, 180)","(434.0, 269.0, 180)"
220,44,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
221,44,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, -289.0, 180)"
222,44,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, -10.0, 180)"
223,44,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
224,44,4,XR6_x3_x1,-4908.420885880822,4656.0,63716.30362885911,"(434, 269, 180)","(434.0, 269.0, 180)"
225,45,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
