,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
1566,522,0,XDL_XM3_XM4,0.0,0.0,0.0,"(370, 561, 90)","(370.0, 561.0, 90)"
1567,522,1,XM5,0.0,0.0,0.0,"(584, 436, 0)","(584.0, 273.5, 0)"
1568,522,2,XDP_XM1_XM2,-3896.592339840693,3678.0,47782.611037029026,"(688, 409, 0)","(688.0, -5.5, 0)"
1569,523,0,XM5,0.0,0.0,0.0,"(762, 403, 90)","(762.0, 361.5, 90)"
1570,523,1,XDL_XM3_XM4,0.0,0.0,0.0,"(654, 1091, 180)","(654.0, 1207.0, 180)"
1571,523,2,XDP_XM1_XM2,-3215.7806960488406,3099.0,13637.730969651708,"(770, 699, 180)","(770.0, 699.0, 180)"
1572,524,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1229, 338, 180)","(1229.0, 338.0, 180)"
1573,524,1,XM5,0.0,0.0,0.0,"(660, 795, 90)","(660.0, 795.0, 90)"
1574,524,2,XDL_XM3_XM4,-5333.250469887015,5113.0,48510.2694854511,"(199, 384, 270)","(199.0, 384.0, 270)"
1575,525,0,XDL_XM3_XM4,0.0,0.0,0.0,"(322, 731, 180)","(322.0, 731.0, 180)"
1576,525,1,XM5,0.0,0.0,0.0,"(151, 1378, 270)","(151.0, 1378.0, 270)"
1577,525,2,XDP_XM1_XM2,-4984.871730227027,4749.0,55635.47312029126,"(974, 1147, 0)","(974.0, 1147.0, 0)"
1578,526,0,XM5,0.0,0.0,0.0,"(537, 674, 90)","(537.0, 674.0, 90)"
1579,526,1,XDP_XM1_XM2,0.0,0.0,0.0,"(516, 537, 0)","(516.0, 336.5, 0)"
1580,526,2,XDL_XM3_XM4,-3439.506385587524,3294.0,21172.10824674523,"(930, 723, 0)","(930.0, 723.0, 0)"
1581,527,0,XDL_XM3_XM4,0.0,0.0,0.0,"(301, 884, 90)","(301.0, 884.0, 90)"
1582,527,1,XM5,0.0,0.0,0.0,"(1263, 849, 90)","(1263.0, 849.0, 90)"
1583,527,2,XDP_XM1_XM2,-5843.1287848771,5584.0,67147.72715188214,"(787, 85, 180)","(787.0, 85.0, 180)"
1584,528,0,XM5,0.0,0.0,0.0,"(520, 1060, 270)","(520.0, 1060.0, 270)"
1585,528,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1394, 93, 180)","(1394.0, 93.0, 180)"
1586,528,2,XDP_XM1_XM2,-5547.360605332766,5293.0,64699.31754525097,"(508, 112, 270)","(508.0, 112.0, 270)"
1587,529,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1441, 1229, 180)","(1441.0, 1229.0, 180)"
1588,529,1,XDL_XM3_XM4,0.0,0.0,0.0,"(79, 1394, 90)","(-131.0, 1394.0, 90)"
1589,529,2,XM5,-7061.120030785414,6697.0,132583.3968191713,"(377, 1419, 270)","(377.0, 1419.0, 270)"
1590,530,0,XM5,0.0,0.0,0.0,"(623, 3, 0)","(623.0, 3.0, 0)"
1591,530,1,XDL_XM3_XM4,0.0,0.0,0.0,"(991, 996, 0)","(991.0, 996.0, 0)"
1592,530,2,XDP_XM1_XM2,-7033.964925188727,6676.0,128138.88766537052,"(29, 965, 90)","(29.0, 965.0, 90)"
1593,531,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1085, 950, 0)","(1085.0, 950.0, 0)"
