,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
88,17,3,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1840.0, 180)"
89,17,4,x2_x1_x1,-18087.131749120934,17367.0,518589.73609197384,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
90,18,0,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 915.5, 180)"
91,18,1,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2312.0, 1429.5, 180)"
92,18,2,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 1943.5, 180)"
93,18,3,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1544.5, 180)"
94,18,4,x2_x1_x1,-19702.65285136411,18801.0,812977.8643730313,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
95,19,0,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 766.0, 180)"
96,19,1,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 516.5, 180)"
97,19,2,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1326.0, 180)"
98,19,3,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1840.0, 180)"
99,19,4,x2_x1_x1,-20163.02803471706,19318.5,713227.6014230611,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
100,20,0,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 915.5, 180)"
101,20,1,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 546.0, 180)"
102,20,2,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1429.5, 180)"
103,20,3,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1943.5, 180)"
104,20,4,x2_x1_x1,-20390.694665155086,19512.0,772104.3145720069,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
105,21,0,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 915.5, 180)"
106,21,1,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 546.0, 180)"
107,21,2,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1429.5, 180)"
108,21,3,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1943.5, 180)"
109,21,4,x3_x1_x1,-17243.514627705572,16680.0,317548.73563814955,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
110,22,0,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2312.0, 869.5, 180)"
111,22,1,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 1383.5, 180)"
112,22,2,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1134.0, 180)"
113,22,3,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1943.5, 180)"
114,22,4,x2_x1_x1,-21279.097840830567,20353.5,856731.3629502063,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
115,23,0,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 766.0, 180)"
116,23,1,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 516.5, 180)"
