,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
959,319,2,XM5,-7897.632410003417,7448.0,202169.30412548126,"(1067, 880, 90)","(1067.0, 880.0, 90)"
960,320,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1198, 365, 180)","(1198.0, 365.0, 180)"
961,320,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1361, 127, 180)","(1558.5, 127.0, 180)"
962,320,2,XM5,-6489.537091504535,6223.0,71042.02114769691,"(7, 1198, 180)","(7.0, 1198.0, 180)"
963,321,0,XM5,0.0,0.0,0.0,"(837, 1044, 270)","(837.0, 1044.0, 270)"
964,321,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1245, 1330, 180)","(1245.0, 1330.0, 180)"
965,321,2,XDL_XM3_XM4,-5942.184550979032,5618.0,105095.62309347659,"(108, 840, 180)","(108.0, 840.0, 180)"
966,322,0,XDP_XM1_XM2,0.0,0.0,0.0,"(856, 674, 90)","(856.0, 674.0, 90)"
967,322,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1223, 405, 0)","(1223.0, 405.0, 0)"
968,322,2,XM5,-3343.169695435196,3191.0,23155.61620884029,"(1159, 781, 90)","(1159.0, 971.5, 90)"
969,323,0,XM5,0.0,0.0,0.0,"(680, 948, 90)","(557.5, 948.0, 90)"
970,323,1,XDP_XM1_XM2,0.0,0.0,0.0,"(939, 1406, 90)","(1132.5, 1406.0, 90)"
971,323,2,XDL_XM3_XM4,-4452.043162153694,4135.0,100516.36666841347,"(845, 1150, 0)","(845.0, 1150.0, 0)"
972,324,0,XDP_XM1_XM2,0.0,0.0,0.0,"(208, 1445, 90)","(208.0, 1445.0, 90)"
973,324,1,XDL_XM3_XM4,0.0,0.0,0.0,"(228, 282, 90)","(228.0, 282.0, 90)"
974,324,2,XM5,-4431.911744321752,4323.0,11861.76805120666,"(396, 1475, 0)","(545.5, 1475.0, 0)"
975,325,0,XM5,0.0,0.0,0.0,"(888, 1320, 180)","(888.0, 1320.0, 180)"
976,325,1,XDP_XM1_XM2,0.0,0.0,0.0,"(940, 1448, 180)","(940.0, 1599.0, 180)"
977,325,2,XDL_XM3_XM4,-5390.132174027291,5201.0,35770.97925228941,"(694, 199, 270)","(694.0, 199.0, 270)"
978,326,0,XDP_XM1_XM2,0.0,0.0,0.0,"(323, 430, 180)","(306.5, 430.0, 180)"
979,326,1,XDL_XM3_XM4,0.0,0.0,0.0,"(667, 318, 0)","(667.0, 318.0, 0)"
980,326,2,XM5,-3138.5396398732314,3004.0,18100.91469721877,"(741, 567, 90)","(954.5, 567.0, 90)"
981,327,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1528, 903, 90)","(1528.0, 903.0, 90)"
982,327,1,XDL_XM3_XM4,0.0,0.0,0.0,"(274, 82, 90)","(274.0, 82.0, 90)"
983,327,2,XM5,-6577.328196762424,6271.0,93836.9641317183,"(1367, 245, 180)","(1367.0, 245.0, 180)"
984,328,0,XM5,0.0,0.0,0.0,"(962, 1500, 270)","(962.0, 1500.0, 270)"
985,328,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1016, 1044, 180)","(1016.0, 1044.0, 180)"
986,328,2,XDL_XM3_XM4,-3025.361506926394,2941.0,7116.863850892032,"(1326, 651, 90)","(1326.0, 651.0, 90)"
987,329,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1195, 1073, 270)","(1448.5, 1073.0, 270)"
